league,season,team,player,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
,,,,,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
LaLiga,2223,Real Betis,Guido Rodríguez,ARG,MF,28,1994,34,33,2872,31.9,1,0,1,1,0,0,8,0,0.03,0.0,0.03,0.03,0.03
LaLiga,2223,Real Betis,Joaquín,ESP,MF,41,1981,22,2,496,5.5,0,2,2,0,0,0,2,0,0.0,0.36,0.36,0.0,0.36
LaLiga,2223,Real Betis,Juan Cruz,ESP,MF,22,2000,6,1,178,2.0,1,0,1,1,0,0,1,0,0.51,0.0,0.51,0.51,0.51
LaLiga,2223,Real Betis,Juan Miranda,ESP,DF,22,2000,21,16,1472,16.4,3,2,5,3,0,0,1,1,0.18,0.12,0.31,0.18,0.31
LaLiga,2223,Real Betis,Juanmi,ESP,MF,29,1993,22,9,925,10.3,4,0,4,4,0,0,3,0,0.39,0.0,0.39,0.39,0.39
LaLiga,2223,Real Betis,Loren Morón,ESP,FW,28,1993,2,0,15,0.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
LaLiga,2223,Real Betis,Luiz Felipe,ITA,DF,25,1997,23,22,1763,19.6,0,0,0,0,0,0,3,3,0.0,0.0,0.0,0.0,0.0
LaLiga,2223,Real Betis,Luiz Henrique,BRA,MF,21,2001,33,21,1807,20.1,1,3,4,1,0,0,6,0,0.05,0.15,0.2,0.05,0.2
LaLiga,2223,Real Betis,Martín Montoya,ESP,DF,31,1991,6,6,453,5.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
LaLiga,2223,Real Betis,Nabil Fekir,FRA,MF,29,1993,15,12,961,10.7,2,2,4,1,1,1,4,1,0.19,0.19,0.37,0.09,0.28
LaLiga,2223,Real Betis,Paul Akouokou,CIV,"MF,DF",24,1997,12,3,447,5.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0
