league,season,team,player,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
,,,,,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Ligue1,2223,Lille,Lucas Chevalier,FRA,GK,20,2001,32,32,2880,32.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
Ligue1,2223,Lille,Léo Jardim,BRA,GK,27,1995,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Ligue1,2223,Lille,Mohamed Lamine Bayo,GUI,FW,24,1998,27,6,651,7.2,4,1,5,4,0,0,1,0,0.55,0.14,0.69,0.55,0.69
Ligue1,2223,Lille,Rémy Cabella,FRA,MF,32,1990,32,28,2525,28.1,7,10,17,7,0,0,3,0,0.25,0.36,0.61,0.25,0.61
Ligue1,2223,Lille,Simon Ramet,FRA,MF,19,2003,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Ligue1,2223,Lille,Tiago Djaló,POR,DF,22,2000,25,24,2017,22.4,2,0,2,2,0,0,7,0,0.09,0.0,0.09,0.09,0.09
Ligue1,2223,Lille,Timothy Weah,USA,"DF,MF",22,2000,29,18,1748,19.4,0,2,2,0,0,0,2,0,0.0,0.1,0.1,0.0,0.1
Ligue1,2223,Lille,Yusuf Yazıcı,TUR,MF,25,1997,4,3,200,2.2,1,1,2,1,0,0,0,0,0.45,0.45,0.9,0.45,0.9
Ligue1,2223,Lorient,Adil Aouchiche,ALG,MF,20,2002,11,1,250,2.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Ligue1,2223,Lorient,Adrian Grbić,AUT,"FW,MF",25,1996,2,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Ligue1,2223,Lorient,Armand Lauriente,FRA,"MF,FW",23,1998,3,3,266,3.0,1,0,1,1,0,0,0,0,0.34,0.0,0.34,0.34,0.34
Ligue1,2223,Lorient,Ayman Kari,FRA,MF,17,2004,5,0,96,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Ligue1,2223,Lorient,Bamba Dieng,SEN,"FW,MF",22,2000,15,9,747,8.3,3,0,3,2,1,1,1,0,0.36,0.0,0.36,0.24,0.24
Ligue1,2223,Lorient,Bamo Meïté,CIV,DF,20,2001,17,16,1503,16.7,1,0,1,1,0,0,5,0,0.06,0.0,0.06,0.06,0.06
Ligue1,2223,Lorient,Bonke Innocent,NGA,MF,26,1996,25,14,1182,13.1,0,1,1,0,0,0,5,0,0.0,0.08,0.08,0.0,0.08
