league,season,team,player,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
,,,,,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
EPL,2223,Liverpool,Nathaniel Phillips,ENG,DF,25,1997,2,1,66,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
EPL,2223,Liverpool,Roberto Firmino,BRA,FW,30,1991,25,13,1213,13.5,11,4,15,11,0,0,0,0,0.82,0.3,1.11,0.82,1.11
EPL,2223,Liverpool,Stefan Bajcetic,ESP,MF,17,2004,11,6,526,5.8,1,0,1,1,0,0,2,0,0.17,0.0,0.17,0.17,0.17
EPL,2223,Liverpool,Thiago Alcántara,ESP,MF,31,1991,18,14,1254,13.9,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
EPL,2223,Liverpool,Trent Alexander-Arnold,ENG,DF,23,1998,37,34,2923,32.5,2,9,11,2,0,0,5,0,0.06,0.28,0.34,0.06,0.34
EPL,2223,Liverpool,Virgil van Dijk,NED,DF,31,1991,32,32,2835,31.5,3,1,4,3,0,0,3,0,0.1,0.03,0.13,0.1,0.13
EPL,2223,Manchester City,Aymeric Laporte,ESP,"DF,MF",28,1994,12,11,993,11.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
EPL,2223,Manchester City,Bernardo Silva,POR,"MF,FW",27,1994,34,24,2205,24.5,4,5,9,4,0,0,5,0,0.16,0.2,0.37,0.16,0.37
EPL,2223,Manchester City,Cole Palmer,ENG,"MF,FW",20,2002,14,2,370,4.1,0,1,1,0,0,0,1,0,0.0,0.24,0.24,0.0,0.24
EPL,2223,Manchester City,Ederson,BRA,GK,28,1993,35,35,3150,35.0,0,1,1,0,0,0,3,0,0.0,0.03,0.03,0.0,0.03
EPL,2223,Manchester City,Erling Haaland,NOR,"FW,MF",22,2000,35,33,2769,30.8,36,8,44,29,7,7,5,0,1.17,0.26,1.43,0.94,1.2
EPL,2223,Manchester City,Jack Grealish,ENG,"FW,MF",26,1995,28,23,2055,22.8,5,7,12,5,0,0,4,0,0.22,0.31,0.53,0.22,0.53
EPL,2223,Manchester City,John Stones,ENG,"DF,MF",28,1994,23,21,1846,20.5,2,2,4,2,0,0,2,0,0.1,0.1,0.2,0.1,0.2
EPL,2223,Manchester City,João Cancelo,POR,DF,28,1994,17,16,1274,14.2,2,1,3,2,0,0,3,1,0.14,0.07,0.21,0.14,0.21
EPL,2223,Manchester City,Julián Álvarez,ARG,"MF,FW",22,2000,31,13,1465,16.3,9,0,9,8,1,1,0,0,0.55,0.0,0.55,0.49,0.49
EPL,2223,Manchester City,Kalvin Phillips,ENG,"MF,DF",26,1995,12,2,300,3.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
EPL,2223,Manchester City,Kevin De Bruyne,BEL,MF,31,1991,32,28,2417,26.9,7,16,23,7,0,0,1,0,0.26,0.6,0.86,0.26,0.86
EPL,2223,Manchester City,Kyle Walker,ENG,"DF,MF",32,1990,27,22,1958,21.8,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0
EPL,2223,Manchester City,Manuel Akanji,SUI,"DF,MF",27,1995,29,24,2287,25.4,0,1,1,0,0,0,2,0,0.0,0.04,0.04,0.0,0.04
EPL,2223,Manchester City,Máximo Perrone,ARG,MF,19,2003,1,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
EPL,2223,Manchester City,Nathan Aké,NED,DF,27,1995,26,22,1873,20.8,1,0,1,1,0,0,2,0,0.05,0.0,0.05,0.05,0.05
EPL,2223,Manchester City,Phil Foden,ENG,"FW,MF",22,2000,32,22,1842,20.5,11,6,17,11,0,0,1,0,0.54,0.29,0.83,0.54,0.83
EPL,2223,Manchester City,Rico Lewis,ENG,"DF,MF",17,2004,14,10,903,10.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
EPL,2223,Manchester City,Riyad Mahrez,ALG,"MF,FW",31,1991,30,22,1920,21.3,5,10,15,4,1,1,2,0,0.23,0.47,0.7,0.19,0.66
