league,season,team,player,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
,,,,,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Bundesliga,2223,Union Berlin,Aïssa Laïdouni,TUN,MF,25,1996,14,11,871,9.7,2,0,2,2,0,0,4,0,0.21,0.0,0.21,0.21,0.21
Bundesliga,2223,Union Berlin,Christopher Trimmel,AUT,MF,35,1987,25,20,1811,20.1,0,6,6,0,0,0,1,0,0.0,0.3,0.3,0.0,0.3
Bundesliga,2223,Union Berlin,Danilho Doekhi,NED,DF,24,1998,25,25,2216,24.6,5,1,6,5,0,0,0,0,0.2,0.04,0.24,0.2,0.24
Bundesliga,2223,Union Berlin,Diogo Leite,POR,DF,23,1999,28,26,2254,25.0,0,1,1,0,0,0,6,1,0.0,0.04,0.04,0.0,0.04
Bundesliga,2223,Union Berlin,Frederik Rønnow,DEN,GK,29,1992,29,29,2610,29.0,0,1,1,0,0,0,2,0,0.0,0.03,0.03,0.0,0.03
Bundesliga,2223,Union Berlin,Genki Haraguchi,JPN,MF,31,1991,11,6,498,5.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Bundesliga,2223,Union Berlin,Jamie Leweling,GER,"FW,MF",21,2001,16,0,265,2.9,1,1,2,1,0,0,1,0,0.34,0.34,0.68,0.34,0.68
Bundesliga,2223,Union Berlin,Janik Haberer,GER,MF,28,1994,32,30,2187,24.3,5,1,6,5,0,0,1,0,0.21,0.04,0.25,0.21,0.25
Bundesliga,2223,Union Berlin,Jordan Pefok,USA,FW,26,1996,31,16,1358,15.1,4,4,8,4,0,2,3,0,0.27,0.27,0.53,0.27,0.53
Bundesliga,2223,Union Berlin,Josip Juranović,CRO,MF,26,1995,12,10,935,10.4,2,1,3,1,1,1,0,0,0.19,0.1,0.29,0.1,0.19
Bundesliga,2223,Union Berlin,Julian Ryerson,NOR,MF,24,1997,13,12,1037,11.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
Bundesliga,2223,Union Berlin,Jérôme Roussillon,GLP,MF,29,1993,16,11,957,10.6,0,2,2,0,0,0,2,0,0.0,0.19,0.19,0.0,0.19
Bundesliga,2223,Union Berlin,Kevin Behrens,GER,FW,31,1991,33,17,1535,17.1,8,1,9,8,0,0,6,0,0.47,0.06,0.53,0.47,0.53
Bundesliga,2223,Union Berlin,Lennart Grill,GER,GK,23,1999,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Bundesliga,2223,Union Berlin,Levin Öztunalı,GER,"FW,MF",26,1996,2,0,9,0.1,0,1,1,0,0,0,0,0,0.0,10.0,10.0,0.0,10.0
Bundesliga,2223,Union Berlin,Miloš Pantović,SRB,"FW,MF",26,1996,13,0,206,2.3,1,0,1,1,0,1,1,0,0.44,0.0,0.44,0.44,0.44
Bundesliga,2223,Union Berlin,Morten Thorsby,NOR,MF,26,1996,24,8,833,9.3,1,1,2,1,0,0,3,0,0.11,0.11,0.22,0.11,0.22
Bundesliga,2223,Union Berlin,Niko Gießelmann,GER,MF,30,1991,26,14,1302,14.5,0,2,2,0,0,0,4,0,0.0,0.14,0.14,0.0,0.14
Bundesliga,2223,Union Berlin,Paul Jaeckel,GER,DF,24,1998,16,13,1196,13.3,1,0,1,1,0,0,4,1,0.08,0.0,0.08,0.08,0.08
Bundesliga,2223,Union Berlin,Paul Seguin,GER,MF,27,1995,20,4,691,7.7,1,3,4,1,0,0,4,0,0.13,0.39,0.52,0.13,0.52
Bundesliga,2223,Union Berlin,Rani Khedira,TUN,MF,28,1994,33,33,2882,32.0,2,0,2,2,0,0,8,0,0.06,0.0,0.06,0.06,0.06
Bundesliga,2223,Union Berlin,Robin Knoche,GER,DF,30,1992,32,32,2873,31.9,2,3,5,1,1,2,4,0,0.06,0.09,0.16,0.03,0.13
Bundesliga,2223,Union Berlin,Sheraldo Becker,SUR,FW,27,1995,34,33,2554,28.4,11,7,18,11,0,0,4,0,0.39,0.25,0.63,0.39,0.63
Bundesliga,2223,Union Berlin,Sven Michel,GER,FW,32,1990,21,2,495,5.5,3,1,4,2,1,1,2,0,0.55,0.18,0.73,0.36,0.55
Bundesliga,2223,Union Berlin,Tim Skarke,GER,"FW,MF",25,1996,3,0,53,0.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
